Extract No.	Need to be Checked(Y/N)	Old Extraction No.	Mapped Reads	Total Reads	% Mapped	% Mapped-Q30	MT_reads	Duplicates	ReadLen (Mapped)	SD ReadLen (Mapped)	ReadLen (All)	SD ReadLen (All)	Museum Code	Age	Period	Neolithic (Y/N/W)	Group	Country	Location	Site Code/Name	Wild/Dom Status	GMM Status	Desired Cov / Current Cov	Seq. strategy (N*S=lane * Shotgun; N*W=lane*WG Wapture; M=mt Capture). UDG for >55bp	Sequencing Status	Source Person	Other Details	Other Details2	Old Haplogroup	Consensus	Internal	External	Lat	Long	mtDNA_cov	mtDNA_bp	DNA	GMM ID (AE)	mtDNA source
AA159	Y	LG668	818	217775	0.375617036	0.044082195	1	0.2372	24.84229829	15.79421894	65.2923522	12.11171557	BEO 1-19-98-V	Mid 5th Millennium BC	Neolithic	Y	?	Serbia	Vinca							Vesna Dimitrijevic	D002377 BE01-19-98-V		ANC-Y1-6A	Y1	9	31	44.78	20.61	0.004454343	74	0	no	PCR
AA160	N	LG671	1761	240217	0.733087167	0.156941432	12	0.234	27.28960818	15.9104079	59.25570214	15.97514963	BEO 1-28-98-V	Mid 5th Millennium BC	Neolithic	Y	EUD-A	Serbia	Vinca		Domestic	Small Domestic				Vesna Dimitrijevic	D002378 BE01-28-98-V		ANC-Y1-6A	Y1	10	31	44.78	20.61	0.035213387	575	0	BEO1-28-98-V	PCR
AA168	N	LG672	1196	163904	0.729695431	0.109210269	0	0.0978	21.43478261	7.292680634	49.95877465	14.35393034	BEO 1-135-98-V	Mid 5th Millennium BC	Neolithic	Y		Serbia	Vinca							Vesna Dimitrijevic	D002376 BE01-135-98-V			-	11	31	44.78	20.61	0	0	0	no	NA
AA169	N	LG673	5587	382189	1.461842178	0.716399478	35	0.0338	46.22319671	18.20622542	61.15331943	14.29437713	BEO BB99-93-2	Mid 5th Millennium BC	Neolithic	Y	EUD-A	Serbia	Vinca		Domestic	Small Domestic		M		Vesna Dimitrijevic	D002448 BEOBB99-93-2		ANC-YellowSta	Y1	12	31	44.78	20.61	0.113585746	1723	3	BEOBB99-93-2	BOTH
AA170	N	LG674	1366	669047	0.204171007	0.068903978	4	0.1003	34.22108346	19.03290447	61.39017438	12.86058856	BEO 15-17	Mid 5th Millennium BC	Neolithic	Y	EUD-A	Serbia	Vinca		Domestic					Vesna Dimitrijevic	D002385 BEO15-17		ANC-Y1-6A	Y1	13	31	44.78	20.61	0.013423223	223	0	no	PCR
AA171	N	LG675	2731	37462	7.290053921	0.421760718	0	0.6888	19.84950568	7.180742124	57.5964177	18.11889527	BEO 1-48	Mid 5th Millennium BC	Neolithic	Y	EUD-A	Serbia	Vinca		Domestic			M		Vesna Dimitrijevic	D002381 BEO1-48		ANC-YellowSta	Y1	32		44.78	20.61	0	0	0	no	PCR
AA172	N	LG677	250	102407	0.244123937	0.041012821	0	0.32	21.852	10.53346627	67.5240755	11.81734544	BEO BB01-117-4	Mid 5th Millennium BC	Neolithic	Y	EUD-A	Serbia	Vinca			Small Domestic				Vesna Dimitrijevic	D002419 BEOBB01-117-4		ANC-YellowSta	Y1	32		44.78	20.61	0	0	0	BEOBB01-117-4	PCR
AA173	N	LG678	1969	203861	0.965854185	0.340428037	8	0.1056	35.36973083	17.67382941	57.88839454	14.69666322	BEO 7-20	Mid 5th Millennium BC	Neolithic	Y	EUD-A	Serbia	Vinca			Small Domestic		M		Vesna Dimitrijevic	D002395 BEO7-20		ANC-YellowSta	Y1	3	32	44.78	20.61	0.022091133	343	0	BEO7-20	PCR
AA174	N	LG680	667	95362	0.699440029	0.088085401	2	0.3208	20.48725637	7.922545629	59.61874751	13.56639842	BEO 1-88-98-V	Mid 5th Millennium BC	Neolithic	Y	EUD-A	Serbia	Vinca			Small Domestic				Vesna Dimitrijevic	D002383 BEO1-88-98-V			Eu	4	32	44.78	20.61	0.190874616	2876	1	BEO1-88-98-V	NGS
AA175	N	LG682	115	35360	0.325226244	0.067873303	0	0.2609	25.95652174	16.84156893	73.09338235	6.832490615	BEO 1-45-98-V	Mid 5th Millennium BC	Neolithic	Y	EUD-A	Serbia	Vinca		Domestic	Small Domestic				Vesna Dimitrijevic	D002380 BEO1-45-98-V		ANC-YellowSta	Y1	32		44.78	20.61	0	0	0	BEO1-45-98-V	PCR
AA176	N	LG683	3705	81828	4.527789999	0.926333284	13	0.4696	26.49932524	15.33571623	57.52686122	16.92741712	BEO BB02-40-1	Mid 5th Millennium BC	Neolithic	Y	EUD-A	Serbia	Vinca			Small Domestic		M		Vesna Dimitrijevic	D002439 BEOBB02-40-1		ANC-Y1-6A	Y1	6	32	44.78	20.61	0.038764823	644	0	BEOBB02-40-1	PCR
AA177	N	LG684	7459	212187	3.515295471	0.157408324	7	0.6483	20.6018233	11.16128748	68.65706193	13.08024096	BEO 79-1	Mid 5th Millennium BC	Neolithic	Y	EUD-A	Serbia	Vinca		Domestic	Large Domestic(67.53%)		M		Vesna Dimitrijevic	D002400 BEO79-1		ANC-Y2-5A	Y2	7	32	44.78	20.61	0.025883344	430	0	BEO79-1	PCR
AA178	N	LG685	1592	40338	3.946650801	0.138826913	0	0.4887	18.53454774	6.239515398	65.03867321	15.12296138	BEO 82-42	Mid 5th Millennium BC	Neolithic	Y	EUD-A	Serbia	Vinca			Small Domestic		M		Vesna Dimitrijevic	D002407 BEO82-42		ANC-Y1-6A	Y1	8	32	44.78	20.61	0	0	0	BEO82-42	PCR
AA179	N	LG686	2385	163997	1.454294896	0.701842107	2	0.0256	42.76771488	15.65249345	57.98267651	14.42929663	BEO 1-33-98-V	Mid 5th Millennium BC	Neolithic	Y		Serbia	Vinca			Small Domestic		M		Vesna Dimitrijevic	D002379 BE01-33-98-V			-	9	32	44.78	20.61	0.01101547	183	0	BEO1-33-98-V	NA
AA204	N		932	12661	7.3611879	0.868809731	1	0.412	24.2167382	14.71892835	63.61330069	17.83310534		second half of the 6th millennium BC	Copper Age?	N		Serbia	Plocnik					M		Miljana Radivojević or Jelena Bulatovic?				-	7	34	43.20	21.36	0.003130079	52	0	no	NA
AA206	N		476	10484	4.540251812	0.181228539	0	0.2647	18.97268908	7.687124568	67.96966807	15.87974806		second half of the 6th millennium BC	Copper Age?	N		Serbia	Plocnik					M		Miljana Radivojević or Jelena Bulatovic?				-	9	34	43.20	21.36	0.002106784	35	0	no	NA
AA209	N		78	3590	2.17270195	0.250696379	0	0.0128	22.46153846	12.16733151	64.04791086	16.69143496		second half of the 6th millennium BC	Copper Age?	N		Serbia	Plocnik					M		Miljana Radivojević or Jelena Bulatovic?				-	12	34	43.20	21.36	0	0	0	no	NA
AA210	N		1379	56362	2.446683936	0.46307796	7	0.2175	25.12690355	12.56515073	51.14108797	17.2265832		second half of the 6th millennium BC	Copper Age?	N		Serbia	Plocnik					M		Miljana Radivojević or Jelena Bulatovic?				-	13	34	43.20	21.36	0.015770782	262	0	no	NA
AA211	Y		6353	102580	6.193215052	2.621368688	1	0.1264	35.6428459	15.72791231	52.87070579	17.70926569		second half of the 6th millennium BC	Copper Age?	N	?	Serbia	Plocnik					M		Miljana Radivojević or Jelena Bulatovic?				-	1	35	43.20	21.36	0.032083308	533	2	no	NA
AA212	Y		36153	322968	11.19398826	6.779928662	13	0.0093	43.78057146	13.35750309	67.79686532	13.61200545		second half of the 6th millennium BC	Copper Age?	N	?	Serbia	Plocnik					M		Miljana Radivojević or Jelena Bulatovic?				-	2	35	43.20	21.36	0.031360982	520	2	no	NA
AA213	Y		3685	148265	2.485414629	1.232927528	11	0.0125	42.95712347	17.03664717	55.15034566	16.4006856		second half of the 6th millennium BC	Copper Age?	N	?	Serbia	Plocnik					M		Miljana Radivojević or Jelena Bulatovic?				Y2	3	35	43.20	21.36	0.215192921	3153	1	no	NGS
AA215	N		53	6049	0.876177881	0.198379898	0	0.1509	32.62264151	19.83996202	70.89237891	10.62576591		second half of the 6th millennium BC	Copper Age?	N		Serbia	Plocnik					M		Miljana Radivojević or Jelena Bulatovic?				-	5	35	43.20	21.36	0	0	0	no	NA
AA216	N		1661	19241	8.632607453	1.616340107	1	0.419	24.78446719	14.38060188	61.08331168	19.48912679		second half of the 6th millennium BC	Copper Age?	N		Serbia	Plocnik					M		Miljana Radivojević or Jelena Bulatovic?				-	6	35	43.20	21.36	0.029795943	495	0	no	NA
AA217	Y		2205	70262	3.138253964	0.693120036	2	0.3116	29.68526077	18.47070043	60.15830748	17.36097834		second half of the 6th millennium BC	Copper Age?	N	?	Serbia	Plocnik					M		Miljana Radivojević or Jelena Bulatovic?				Y1	7	35	43.20	21.36	0.095467405	1568	1	no	NGS
AA218	Y		611	18233	3.351066747	0.416826633	1	0.2799	22.39116203	11.65188455	63.32967696	17.0777802		second half of the 6th millennium BC	Copper Age?	N	?	Serbia	Plocnik					M		Miljana Radivojević or Jelena Bulatovic?				Y2	8	35	43.20	21.36	0.169505809	2419	1	no	NGS
AA219	N		6210	700237	0.886842598	0.124529267	4	0.2681	23.04605475	11.92360952	58.10921731	16.10151724		early 5th millennium BC	Neolithic	Y		Serbia	Plocnik					M		Miljana Radivojević or Jelena Bulatovic?	3432			-	9	35	43.20	21.36	0.036417264	567	0	no	NA
AA220	N		1406	82041	1.713777258	0.074353067	0	0.5711	18.3883357	7.026638116	69.25948002	12.7157539		early 5th millennium BC	Neolithic	Y		Serbia	Plocnik					M		Miljana Radivojević or Jelena Bulatovic?				-	10	35	43.20	21.36	0	0	0	no	NA
AA221	Y		342	15736	2.173360447	0.152516523	0	0.4386	20.54093567	8.114815187	61.34964413	16.72630624		early 5th millennium BC	Neolithic	Y	?	Serbia	Plocnik					M		Miljana Radivojević or Jelena Bulatovic?				Y2	11	35	43.20	21.36	0.313068079	4321	1	no	NGS
AA222	N		1352	38344	3.525975381	0.286876695	0	0.537	20.68491124	8.944924508	61.20261319	17.6874139		early 5th millennium BC	Neolithic	Y		Serbia	Plocnik					M		Miljana Radivojević or Jelena Bulatovic?				-	12	35	43.20	21.36	0	0	0	no	NA
AA223	N		364	60511	0.601543521	0.085934789	0	0.1154	24.56043956	13.67989721	60.25423477	15.60031953		early 5th millennium BC	Neolithic	Y		Serbia	Plocnik							Miljana Radivojević or Jelena Bulatovic?				-	13	35	43.20	21.36	0	0	0	no	NA
AA224	N		209	36623	0.570679628	0.139256751	0	0.0909	27.46315789	18.45360866	55.68385969	15.85003314		early 5th millennium BC	Neolithic	Y		Serbia	Plocnik							Miljana Radivojević or Jelena Bulatovic?				-	1	36	43.20	21.36	0.011918377	198	0	no	NA
AA225	Y		203	291135	0.069727103	0.011678431	0	0.1379	22.53142857	9.971677461	72.26608429	8.106663982	PLO 13. 4637	early 5th millennium BC	Neolithic	Y	?	Serbia	Plocnik							Miljana Radivojević or Jelena Bulatovic?				Y2	2	36	43.20	21.36	0.066092819	1066	1	no	NGS
AA226	N		156	44760	0.348525469	0.082663092	2	0.0705	30.40689655	17.35355253	58.67585868	14.45318168	139		Early Byzantine (450-650AD)	N	NED-A	Turkey	Sagalossos		Domestic	Small Domestic				François X Ricaut	site NEG nr 113			Eu	3	36	37.68	30.52	0.161680612	2455	1	SAG-139	NGS
AA227	N		776	46428	1.671405187	0.706470233	2	0.058	44.46648427	21.73986707	55.97768579	15.31751954	223		Early Byzantine (450-650AD)	N	NED-A	Turkey	Sagalossos		Domestic	Small Domestic		M		François X Ricaut	site: B3 nr 278			-	4	36	37.68	30.52	0	0	1	SAG-223	NGS
AA228	N		18	17524	0.102716275	0.028532299	0	0.2222	30.07142857	16.97719867	73.65473744	5.13220674	510		Early Byzantine (450-650AD)	N		Turkey	Sagalossos			Small Domestic				François X Ricaut	site B1 nr 165			-	5	36	37.68	30.52	0	0	0	SAG-510	NA
AA229	N		741	137540	0.538752363	0.165769958	2	0.0324	42.42538354	19.01834083	60.74706943	13.88709481	559		Early Byzantine (450-650AD)	N		Turkey	Sagalossos			Small Domestic				François X Ricaut	site B1 nr 153			-	6	36	37.68	30.52	0.028471679	473	0	SAG-559	NA
AA230	N		551	88088	0.625510853	0.231586595	2	0.1034	42.79149798	22.67432018	62.52521271	13.67851863	988		Early Byzantine (450-650AD)	N	NED-A	Turkey	Sagalossos		Domestic	Small Domestic				François X Ricaut	site UAN nr 216			Eu	7	36	37.68	30.52	0.104917835	1594	1	SAG-988	NGS
AA231	N		15464	56442	27.39803692	19.13645867	15	0.0109	61.34008891	14.49012437	63.17235313	13.85514403	1193		Late Roman (300-450AD)	N	NED-A	Turkey	Sagalossos			Small Domestic		M		François X Ricaut	site DA nr 167			Eu	8	36	37.68	30.52	0.902847168	9527	3	SAG-1193	NGS
AA232	N		309	44096	0.700743832	0.231313498	0	0.11	39.18545455	23.62167922	65.516386	13.33579021	298		Late Roman (300-450AD)	N		Turkey	Sagalossos							François X Ricaut	site N nr 309			-	9	36	37.68	30.52	0.028351291	471	0	no	NA
AA234	N		2592	206818	1.253275827	0.654681894	4	0.0185	46.56092767	19.30558688	64.46305557	13.64577728	400		Late Roman (300-450AD)	N	NED-A	Turkey	Sagalossos		Domestic	Small Domestic		M		François X Ricaut	site N nr 389			Eu	11	36	37.68	30.52	0.319147655	4767	1	SAG-400	NGS
AA235	N		2406	300782	0.799914889	0.187511221	3	0.3063	35.97663271	21.41160638	60.03588462	14.15817981	1301		Late Roman (300-450AD)	N	NED-A	Turkey	Sagalossos		Domestic	Small Domestic				François X Ricaut	site AP nr 45/3			Eu	12	36	37.68	30.52	0.195208572	2911	1	SAG-1301	NGS
AA236	N		1593	224429	0.709801318	0.098917698	0	0.0829	21.71663244	8.457171952	54.03347793	14.24147349	1302		Late Roman (300-450AD)	N		Turkey	Sagalossos							François X Ricaut	site AP nr 45/3			-	13	36	37.68	30.52	0.003912599	65	0	no	NA
AA237	N		263	16207	1.622755599	0.148084161	0	0.2548	22.14285714	9.401036495	58.87490706	17.08447616	1315		Late Roman (300-450AD)	N		Turkey	Sagalossos			Small Domestic		M		François X Ricaut	site AP nr 70/2			-	1	37	37.68	30.52	0.046168663	733	0	SAG-1315	NA
AA238	N		362	167556	0.216047172	0.037002554	2	0.2818	23.52307692	11.56897421	66.40181184	12.53761936	405	Not Dated	Hellenistic, Roman and early Byzantine	N		Turkey	Sagalossos			Small Domestic				François X Ricaut	site DT nr 2			-	2	37	37.68	30.52	0.034491061	573	0	SAG-405	NA
AA255	N	RB463	163	32064	0.508358283	0.102919162	0	0.362	24.53846154	10.26344543	68.75285112	12.36020574	2074	3500-2850 cal. BC	Neolithic	W	EUW-A	Switzerland	Arbon, Frauenfeld		Wild	Wild (100%)				Jörg Schibler	Arbon 2074 D003576		DNW	Eu	5	38	47.52	9.43	0.141997231	2131	1	Frauenfeld-ARB-2074	NGS
AA256	N	RB464	4071	378904	1.074414627	0.209815679	6	0.3223	35.69699166	17.15749133	57.60105617	13.77949752	8213	3500-2850 cal. BC	Neolithic	W	EUW-A	Switzerland	Arbon, Frauenfeld		Wild	Wild (94.63%)		M		Jörg Schibler	Arbon 8213 D003577		DNW	Eu	6	38	47.52	9.43	0.162523325	2518	1	Frauenfeld-ARB-8213	NGS
AA257	N	RB465	4579	582594	0.785967586	0.178168673	10	0.1369	34.28896761	15.91376087	56.7503398	13.58386573	7913	3500-2850 cal. BC	Neolithic	Y	EUD-A	Switzerland	Arbon, Frauenfeld		Domestic	Domestic (99.55%)				Jörg Schibler	Arbon 7913 D003578		ANC-Cside	Eu	7	38	47.52	9.43	0.189550352	2701	1	Frauenfeld-ARB-7913	BOTH
AA258	N	RB466	6416	943229	0.680216575	0.158816152	13	0.0574	32.03587963	13.28964711	54.2820543	14.48690933	267	3500-2850 cal. BC	Neolithic	Y	EUD-A	Switzerland	Arbon, Frauenfeld		Domestic	Domestic (88.81%)				Jörg Schibler	Arbon 267 D003579		DNW	Eu	8	38	47.52	9.43	0.177451393	2656	1	Frauenfeld-ARB-267	NGS
AA259	N	RB467	1951	285625	0.683063457	0.103282276	3	0.2148	22.66449086	8.625284035	53.40235479	14.24892199	7809	3500-2850 cal. BC	Neolithic	Y	EUD-A	Switzerland	Arbon, Frauenfeld		Domestic	Domestic (97.32%)				Jörg Schibler	Arbon 7809 D003580		DNW	Eu	9	1	47.52	9.43	0.053873473	860	1	Frauenfeld-ARB-7809	NGS
AA260	N	RB468	705	130573	0.539927856	0.166956415	3	0.1007	33.01419558	15.01315233	58.47033762	13.17989499	9143	3500-2850 cal. BC	Neolithic	W	EUW-A	Switzerland	Arbon, Frauenfeld		Wild	2 teeth-> Wild (95% and 100%)				Jörg Schibler	Arbon 9143 D003581		ANC-Cside	Eu	10	1	47.52	9.43	0.094143141	1440	1	Frauenfeld-ARB-9143	BOTH
AA261	N	RB469	1004	238555	0.420867305	0.196600365	4	0.0538	36.21263158	14.05682613	58.69194259	13.25551353	4617	3500-2850 cal. BC	Neolithic	Y	EUD-A	Switzerland	Arbon, Frauenfeld		Domestic	Domestic (98.2%)				Jörg Schibler	Arbon 4617 D003582		DNW	Y1	11	1	47.52	9.43	0.114308072	1648	1	Frauenfeld-ARB-4617	NGS
AA262	N	RB470	1016	179536	0.565903217	0.247861153	3	0.0551	34.00104167	13.49309478	56.75778917	13.93267279	8000	3500-2850 cal. BC	Neolithic	W	EUW-A	Switzerland	Arbon, Frauenfeld		Wild	Wild (100%)				Jörg Schibler	Arbon 8000 D003583		DNW	Eu	12	1	47.52	9.43	0.094624692	1500	1	Frauenfeld-ARB-8000	NGS
AA263	N	RB471	213	80734	0.263829366	0.052022692	0	0.0141	21.73333333	4.76282789	52.90104173	13.14908766	8642	3500-2850 cal. BC	Neolithic	W	EUW-A	Switzerland	Arbon, Frauenfeld		Wild	Wild (99.11%)				Jörg Schibler	Arbon 8642 D003584		DNW	As	13	1	47.52	9.43	0.438933365	5618	0	Frauenfeld-ARB-8642	NA
AA264	N	RB472	1212	133698	0.906520666	0.329099912	1	0.118	33.85032741	14.94565851	56.89067425	13.10552446	597	3500-2850 cal. BC	Neolithic	W	EUW-A	Switzerland	Arbon, Frauenfeld		Wild	2 teeth-> Wild (100% and 89%)		M		Jörg Schibler	Arbon 597 D003585		ANC-Cside	Eu	1	39	47.52	9.43	0.044483236	659	0	Frauenfeld-ARB-597	PCR
AA265	N	RB473	2899	393019	0.737623372	0.411684931	4	0.0321	47.07305773	15.72291291	62.09695973	13.00244778	3886	3500-2850 cal. BC	Neolithic	N	EUW-A	Switzerland	Arbon, Frauenfeld			2 teeth-> Wild (100% and 98%)				Jörg Schibler	Arbon 3886 D003586		DNW	Eu	4	39	47.52	9.43	0.247035454	3409	3	Frauenfeld-ARB-3886	NGS
AA268	N		192	11525	1.665943601	0.164859002	0	0.0885	19.27428571	4.493184037	53.6791797	18.20237024		1st-3rd century AD	Roman	N		Switzerland	Augusta Raurica, Kastelen					M		Jörg Schibler	AUGST KASTELEN 1991.51/1992.51 C8502			-	39		47.53	7.72	0	0	0	no	NA
AA269	Y		1890	349433	0.540876219	0.116474403	6	0.1365	26.84803922	14.88015302	52.27009666	14.53980499		1st-3rd century AD	Roman	N	?	Switzerland	Augusta Raurica, Kastelen							Jörg Schibler	AUGST KASTELEN 1991.51/1992.51 C08671		E	Eu	39		47.53	7.72	0.419671342	5435	1	no	BOTH
AA270	Y	GL717?	2340	120274	1.945557643	0.315113823	2	0.4026	28.0944206	15.88495541	54.14392619	16.26963121	45/25	3500BC cal		N	?	Italy	Troina		Domestic?			M		Caroline Malone/Simon Stoddart			DNW	ArmT	7	39	37.79	14.60	0.195750316	2979	1	no	NGS
AA271	Y		4838	142111	3.404381082	1.536826847	4	0.0761	42.08747204	18.08189024	49.00566518	15.28258658		?		N	?	Italy	Troina					M		Caroline Malone/Simon Stoddart	Pig Frontal D002564 CS 16 no.3			Y1	8	39	37.79	14.60	0.164509721	2485	3	no	NGS
AA272	N	GL716/717	27-Nov	229936	0.7797822	0.058711989	0	0.2895	19.75353218	4.439221136	51.81145687	15.74372375		3500BC (C14)				Italy	Troina		Domestic?					Caroline Malone/Simon Stoddart	1 CS D002562 Radius		DNW	-	9	39	37.79	14.60	0	0	0	no	NA
AA273	N		615	82525	0.745228719	0.078764011	0	0.2634	20.28918322	5.486329954	60.44008839	16.73239696		?				Italy	Troina							Caroline Malone/Simon Stoddart	Pig 1st Phalange D002563 CS 16 131E 503N no. 2			-	39		37.79	14.60	0.002227171	37	0	no	NA
AA274	N	LG059	875	123684	0.707448013	0.105915074	0	0.1314	23.25394737	11.86085268	48.38164912	14.11809177	EEL968	~5000-4500 BC				Turkey	Ulucak Höyük							Canan Çakirlar				-	11	39	37.16	37.39	0.034190092	568	0	no	NA
AA276	Y	GL446	4193	724681	0.578599411	0.096594226	1	0.0083	20.77176527	3.996161414	48.48977294	14.61764406	4	VI last 2/3 of C12 BC 4	Iron Age	N	NED-A	Israel	Ekron		Domestic					Justin Lev-Tov		No additonal info	DNW	Y1	12	39	31.78	34.85	0.145067116	2302	1	no	NGS
AA277	N	GL449	1302	140045	0.929701167	0.137812846	0	0.0008	20.01306687	2.868231546	45.02918369	12.65595351	1	V 1st half C11 BC	Iron Age	N		Israel	Ekron		Domestic			M		Justin Lev-Tov		No additonal info	DNW	-	13	39	31.78	34.85	0.010654307	177	0	yes	NA
AA278	N		716	102771	0.696694593	0.086600306	0	0.0992	20.32248062	3.839748801	47.14734177	13.79931516		IV 2nd half C11 BC	Iron Age	N		Israel	Ekron							Justin Lev-Tov		No additonal info		-	1	40	31.78	34.85	0.036658039	577	0	yes	NA
AA279	N	GL158	1679	332660	0.504719533	0.19840077	2	0.0089	34.64903846	16.52620577	55.04054172	15.56752559	MO B006	Late 2nd - 5th Century AD	Roman 	N	EUD-A	Belgium	Montaigle		Domestic					Sophie Van Poucke			ANC-Aside	Eu	2	40	50.28	4.82	0.094684885	1416	1	no	BOTH
AA280	Y		998	266084	0.375069527	0.176260128	18	0.002	46.91967871	18.76020524	58.3351185	13.69253851	MO isol. teeth Early MA 89.3	MO isol. teeth Early MA 89.3		N	?	Belgium	Montaigle							Sophie Van Poucke				Eu	3	40	51.00	4.13	1.165894179	10653	1	?	NGS
AA281	Y		1171	573143	0.204312013	0.04117646	0	0.0043	23.35849057	9.454483277	51.87805904	12.88551101	MO isol. Teeth. Early MA 85.15	MO isol. Teeth. Early MA 85.15		N	?	Belgium	Montaigle							Sophie Van Poucke				Eu	4	40	51.00	4.13	0.064467586	934	1	?	NGS
AA287	N	GL490	1599	120872	1.322887021	0.26557019	3	0.3121	32.24090909	16.70504054	56.96399525	15.38790676	BO88-P17-Ch6	6185 ± 68 [5306-4962] cal BC	Neolithic (Cardial)	W	EUW-A	France	Oulens		Wild			M		Jean-Denis Vigne / Daniel Helmer			ANC-Cside	Eu	10	40	44.48	4.32	1.922048998	13220	3	no	BOTH
AA288	N	GL491	107313	196276	54.67453993	35.57949011	374	0.0073	53.72069992	14.36739593	56.41273722	14.58656852	BO86-O14-6A	6,361 ± 66 [5471-5222] cal BC	Neolithic (Cardial)	W	EUW-A	France	Oulens		Wild		3.2X	2.5S	Sequenced (2 lanes 2500) Maybe give another lane later	Jean-Denis Vigne / Daniel Helmer		ANC-Aside	11	Eu	44.482	4.324	44.48	4.32	151.300307	16589	3	no	NGS
AA289	Y	GL316	4194	937873	0.447182081	0.083060286	1	0.0157	22.2192345	7.144135386	47.24759465	12.24992578	Ajvide	2800-2500 cal BC	Middle Neolithic 	Y	?	Sweden	Ajvide		Undet.					Göran Burenhul/Inger Österholm			ANC-Aside	Eu	12	40	57.16	18.10	0.025642569	426	0	no	PCR
AA290	Y	GL453	2457	305065	0.805402127	0.170127678	6	0.0427	25.2542517	11.18591122	46.59138576	12.7535597	2	2800-2500 cal BC	Middle Neolithic 	Y	?	Sweden	Ajvide		Undet.			M		Göran Burenhul/Inger Österholm			ANC-Aside	Eu	13	40	57.16	18.10	0.244627701	3296	1	no	BOTH
AA291	Y	GL459	1465	144910	1.010972328	0.35677317	0	0.1433	32.34501992	14.13377662	63.74733932	16.11318003	6	2800-2500 cal BC	Middle Neolithic 	Y	?	Sweden	Ajvide		Undet.			M		Göran Burenhul/Inger Österholm			ANC-Aside	Eu	2	41	57.16	18.10	0.302052609	4058	1	no	BOTH
AA292	Y	GL474	160	7917	2.020967538	0.315776178	0	0.1625	37.94029851	21.07122229	59.4854898	14.55271911	5	2800-2500 cal BC	Middle Neolithic 	Y	?	Sweden	Ajvide		Undet.			M		Göran Burenhul/Inger Österholm			ANC-Aside	Eu	1	41	57.16	18.10	0.033467766	556	0	no	PCR
AA293	Y	GL488	3044	383485	0.793772899	0.123081737	0	0.0243	20.67508418	4.125002678	46.21306118	13.52491545	4	2800-2500 cal BC	Middle Neolithic 	Y	?	Sweden	Ajvide		Undet.					Göran Burenhul/Inger Österholm			ANC-Aside	Eu	9	41	57.16	18.10	0.135496298	2064	1	no	BOTH
AA294	Y	GL1145	1717	76513	2.2440631	1.180191601	13	0.0291	48.75284943	17.40003474	56.96432261	14.60306179	Tai Sus 1	5300 to 5100 cal BC	Neolithic	Y	?	France	Grotte du Tai					M		Claire Manen	L15 AN43 d39		A	Eu	3	41	45.13	5.58	2.038283272	13825	1	no	BOTH
AA295	Y	GL1146	775	106251	0.7294049	0.137410471	0	0.0852	23.47813822	9.632873267	50.27203466	15.23248785	Tai Sus 2	5300 to 5100 cal BC	Neolithic	Y	?	France	Grotte du Tai							Claire Manen	J15 AN35 d12		A	Eu	4	41	45.13	5.58	0.087582014	1452	1	no	BOTH
AA305	Y	LG025	618	132897	0.465021784	0.066216694	0	0.4272	19.85875706	5.803910436	68.80046444	12.15622463	BADEM-3	7,000-6,000 BC	Neolithic	W	NEW-A	Turkey	Bademağacı 		Wild	No		M		François X Ricaut/Bea de Cupere?	BADEM-3 ENI-7 Wild	Wild		Y1	2	42	37.09	31.08	0.293926443	3978	1	no	NGS
AA306	N	LG026	11005	469154	2.345711643	0.864321737	104	0.1171	34.06093042	12.07831679	52.7229158	15.93930232	BADEM-4	7,000-6,000 BC	Neolithic	W	NEW-A	Turkey	Bademağacı 		Wild	No		M		François X Ricaut/Bea de Cupere?	BADEM-4 ENII-4A Wild	Wild		Y1	3	42	37.09	31.08	30.42725576	15847	3	no	NGS
AA307	N	LG027	1061	591554	0.179358097	0.013016563	0	0.3695	20.76980568	8.53616383	65.1269246	11.27178874	BADEM-8	7,000-6,000 BC	Neolithic	Y		Turkey	Bademağacı 		Domestic	No				François X Ricaut/Bea de Cupere?	BADEM-8 ENII-3A			-	4	42	37.09	31.08	0.009811593	163	0	no	NA
AA308	N	LG028	358	84079	0.425790031	0.033302014	0	0.3296	20.24583333	7.016566122	68.96772311	12.20431049	BADEM-9	7,000-6,000 BC	Neolithic	W	NEW-A	Turkey	Bademağacı 		Wild	No		M		François X Ricaut/Bea de Cupere?	BADEM-9 ENII-3A			Eu	5	42	37.09	31.08	0.445554686	5553	0	no	NA
AA309	N	LG029	6368	132152	4.818693626	1.299261457	6	0.3298	29.80435801	11.79130334	46.02243718	14.97305034	BADEM-11	7,000-6,000 BC	Neolithic	W	NEW-A	Turkey	Bademağacı 		Wild	No		M		François X Ricaut/Bea de Cupere?	BADEM-11 ENII-3			Y1	6	42	37.09	31.08	0.224282189	2986	1	no	NGS
AA310	Y	LG030	2926	263754	1.109367062	0.230896972	1	0.1883	26.74315789	12.52487544	54.17641896	15.97822649	BADEM-12	7,000-6,000 BC	Neolithic	Y	?	Turkey	Bademağacı 		Domestic?	No		M		François X Ricaut/Bea de Cupere?	BADEM-12 ENII-3			Y1	7	42	37.09	31.08	0.060374406	972	1	no	NGS
